Party,Sex,Partisan Score,Turnout Score
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,U,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,U,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,U,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
Democratic,M,63,75
Democratic,F,63,75
Democratic,F,63,75
